,City Name,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County
1380,St. Marys,12793,47.6,50810,49.4,50.6,29415,112122," [(['White alone'], ['12,300']), (['Hispanic'], ['90']), (['Black alone'], ['65']), (['Asian alone'], ['70']), (['Other race alone'], ['46']), (['American Indian alone'], ['39']), (['Two or more races'], ['14'])] ",Elk-County
1381,St. Michael-Sidman,927,41.5,44822,46.8,53.2,21309,78493," [(['White alone'], ['957']), (['Two or more races'], ['7']), (['Hispanic'], ['6']), (['Black alone'], ['2']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Cambria-County
1382,St. Michael,408,70.2,44100,39.2,60.8,24592,93400," [(['White alone'], ['403']), (['Hispanic'], ['3']), (['Two or more races'], ['2'])] ",Cambria-County
1383,St. Petersburg,385,45.5,43410,50.5,49.5,21949,91877," [(['White alone'], ['398']), (['Asian alone'], ['2'])] ",Clarion-County
1384,St. Vincent College,1357,19.8,56722,58.5,41.5,30677,149700," [(['White alone'], ['1,210']), (['Black alone'], ['69']), (['Hispanic'], ['41']), (['Two or more races'], ['24']), (['Asian alone'], ['12']), (['Other race alone'], ['1'])] ",Westmoreland-County
1385,Star Junction,616,54.5,43140,51.6,48.4,24029,101700," [(['White alone'], ['605']), (['Two or more races'], ['9']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Fayette-County
1386,Starbrick,522,53.5,46625,42.6,57.4,26371,94369," [(['White alone'], ['505']), (['Two or more races'], ['15']), (['Hispanic'], ['2'])] ",Warren-County
1387,State College,42100,22.2,35023,54.3,45.7,19736,300326," [(['White alone'], ['32,863']), (['Asian alone'], ['4,724']), (['Hispanic'], ['1,887']), (['Black alone'], ['1,642']), (['Two or more races'], ['909']), (['Other race alone'], ['67']), (['American Indian alone'], ['55']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['35'])]",Centre-County
1388,State Line,2709,46.7,60559,50.3,49.7,30949,174700," [(['White alone'], ['2,483']), (['Hispanic'], ['73']), (['Black alone'], ['58']), (['Asian alone'], ['49']), (['Two or more races'], ['45']), (['Other race alone'], ['1'])] ",Franklin-County
1389,Steelton,5931,30.7,49535,47.4,52.6,19162,91969," [(['White alone'], ['2,593']), (['Black alone'], ['2,168']), (['Hispanic'], ['876']), (['Two or more races'], ['283']), (['Asian alone'], ['43']), (['Other race alone'], ['19']), (['American Indian alone'], ['8'])] ",Dauphin-County
1390,Stevens,612,41.3,61335,53.4,46.6,29740,196400," [(['White alone'], ['586']), (['Asian alone'], ['15']), (['Hispanic'], ['10']), (['Two or more races'], ['1'])] ",Lancaster-County
1391,Stewartstown,2304,48.5,60566,48.6,51.4,33989,177417," [(['White alone'], ['1,970']), (['Black alone'], ['40']), (['Hispanic'], ['32']), (['Two or more races'], ['29']), (['Asian alone'], ['14']), (['American Indian alone'], ['2']), (['Other race alone'], ['2'])] ",York-County
1392,Stiles,1113,38.1,60498,48.7,51.3,32424,198800," [(['White alone'], ['940']), (['Hispanic'], ['103']), (['Black alone'], ['30']), (['Asian alone'], ['27']), (['Two or more races'], ['8']), (['Other race alone'], ['3']), (['American Indian alone'], ['2'])] ",Lehigh-County
1393,Stillwater,212,50.1,47796,45.3,54.7,24943,143641," [(['White alone'], ['204']), (['Black alone'], ['3']), (['Hispanic'], ['2'])] ",Columbia-County
1394,Stockdale,508,57.3,44607,53.3,46.7,29552,97368," [(['White alone'], ['492']), (['Two or more races'], ['6']), (['Hispanic'], ['4'])] ",Washington-County
1395,Stockertown,921,39.3,95120,45.0,55.0,32368,235528," [(['White alone'], ['887']), (['Hispanic'], ['28']), (['Two or more races'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['3']), (['American Indian alone'], ['2'])] ",Northampton-County
1396,Stoneboro,1024,51.1,46626,50.6,49.4,27020,82701," [(['White alone'], ['1,030']), (['Two or more races'], ['10']), (['Hispanic'], ['8']), (['Asian alone'], ['2']), (['American Indian alone'], ['1'])] ",Mercer-County
1397,Stonerstown,376,41.8,48459,49.4,50.6,24522,129770," [(['White alone'], ['367']), (['Hispanic'], ['8']), (['Two or more races'], ['1'])] ",Bedford-County
1398,Stony Creek Mills,1045,51.5,59286,48.0,52.0,29321,174800," [(['White alone'], ['913']), (['Hispanic'], ['99']), (['Two or more races'], ['17']), (['Black alone'], ['11']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Berks-County
1399,Stonybrook-Wilshire,5963,42.3,78658,49.1,50.9,38502,217941," [(['White alone'], ['5,005']), (['Asian alone'], ['135']), (['Black alone'], ['108']), (['Hispanic'], ['95']), (['Two or more races'], ['59']), (['American Indian alone'], ['8']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['4'])]",York-County
1400,Stonybrook,2384,43.9,62462,52.9,47.1,29610,172000," [(['White alone'], ['2,110']), (['Black alone'], ['101']), (['Asian alone'], ['82']), (['Hispanic'], ['62']), (['Two or more races'], ['27']), (['Other race alone'], ['2'])] ",York-County
1401,Stormstown,2366,44.4,116456,50.0,50.0,48126,313289," [(['White alone'], ['2,274']), (['Two or more races'], ['30']), (['Hispanic'], ['29']), (['Asian alone'], ['21']), (['Black alone'], ['12'])] ",Centre-County
1402,Stouchsburg,600,43.7,59286,51.3,48.7,29321,174800," [(['White alone'], ['580']), (['Hispanic'], ['12']), (['Black alone'], ['3']), (['Two or more races'], ['3']), (['Asian alone'], ['2'])] ",Berks-County
1403,Stowe Township,6391,42.1,43484,46.8,53.2,27231,89141," [(['White alone'], ['6,048']), (['Black alone'], ['534']), (['Two or more races'], ['58']), (['Hispanic'], ['28']), (['American Indian alone'], ['14']), (['Asian alone'], ['11']), (['Other race alone'], ['13'])] ",Allegheny-County
1404,Stowe,3695,36.7,52984,50.9,49.1,23738,158774," [(['White alone'], ['3,077']), (['Black alone'], ['352']), (['Hispanic'], ['122']), (['Two or more races'], ['102']), (['Asian alone'], ['23']), (['American Indian alone'], ['10']), (['Other race alone'], ['8']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Montgomery-County
1405,Stoystown,340,44.8,37425,39.3,60.7,25783,86382," [(['White alone'], ['354']), (['Two or more races'], ['1'])] ",Somerset-County
1406,Strasburg,2872,37.2,64182,50.1,49.9,30823,200299," [(['White alone'], ['2,657']), (['Hispanic'], ['74']), (['Two or more races'], ['39']), (['Black alone'], ['19']), (['Asian alone'], ['20'])] ",Lancaster-County
1407,Strattanville,536,43.9,45030,48.7,51.3,18895,74644," [(['White alone'], ['524']), (['Hispanic'], ['12']), (['Black alone'], ['5']), (['American Indian alone'], ['4']), (['Two or more races'], ['3']), (['Asian alone'], ['2'])] ",Clarion-County
1408,Strausstown,344,40.0,53080,57.8,42.2,36924,135082," [(['White alone'], ['330']), (['Hispanic'], ['8']), (['Black alone'], ['3']), (['Two or more races'], ['1'])] ",Berks-County
1409,Strodes Mills,757,53.0,43559,48.2,51.8,22481,103505," [(['White alone'], ['745']), (['Two or more races'], ['5']), (['Hispanic'], ['4']), (['Black alone'], ['2']), (['Asian alone'], ['1'])] ",Mifflin-County
1410,Stroudsburg,5466,39.5,32048,57.8,42.2,23575,160735," [(['White alone'], ['3,457']), (['Hispanic'], ['774']), (['Black alone'], ['649']), (['Asian alone'], ['217']), (['Two or more races'], ['182']), (['American Indian alone'], ['123']), (['Other race alone'], ['106']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['11'])]",Monroe-County
1411,Sturgeon-Noblestown,1681,36.5,70387,49.5,50.5,29015,136706," [(['White alone'], ['1,700']), (['Black alone'], ['40']), (['Two or more races'], ['13']), (['Hispanic'], ['8']), (['American Indian alone'], ['2']), (['Asian alone'], ['1'])] ",Allegheny-County
1412,Sturgeon,1710,42.4,56140,50.8,49.2,34440,147100," [(['White alone'], ['1,650']), (['Two or more races'], ['24']), (['Black alone'], ['19']), (['Hispanic'], ['6']), (['Asian alone'], ['5']), (['American Indian alone'], ['3']), (['Other race alone'], ['3'])] ",Allegheny-County
1413,Sugar Grove,604,44.5,53128,53.1,46.9,25974,112952," [(['White alone'], ['593']), (['Two or more races'], ['11']), (['Black alone'], ['5']), (['Asian alone'], ['3']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Warren-County
1414,Sugar Notch,976,46.1,43336,50.9,49.1,24205,80435," [(['White alone'], ['960']), (['Hispanic'], ['21']), (['Two or more races'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['1'])] ",Luzerne-County
1415,Sugarcreek,5162,46.1,40181,49.4,50.6,23502,77136," [(['White alone'], ['5,148']), (['Hispanic'], ['55']), (['Two or more races'], ['46']), (['Black alone'], ['26']), (['Asian alone'], ['12']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Venango-County
1416,Summerhill,471,45.7,48809,49.8,50.2,26156,119133," [(['White alone'], ['486']), (['Hispanic'], ['4'])] ",Cambria-County
1417,Summerville,522,45.4,38874,50.6,49.4,19895,72671," [(['White alone'], ['521']), (['Two or more races'], ['4']), (['American Indian alone'], ['2']), (['Hispanic'], ['1'])] ",Jefferson-County
1418,Summit Hill,2976,42.6,60142,51.9,48.1,29433,98372," [(['White alone'], ['2,929']), (['Hispanic'], ['54']), (['Two or more races'], ['21']), (['Black alone'], ['16']), (['Asian alone'], ['10']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Carbon-County
1419,Sun Valley,2399,44.0,60095,47.7,52.3,28115,164200," [(['White alone'], ['1,909']), (['Hispanic'], ['256']), (['Black alone'], ['181']), (['Two or more races'], ['34']), (['Asian alone'], ['8']), (['Other race alone'], ['7']), (['American Indian alone'], ['4'])] ",Monroe-County
1420,Sunbury,9736,38.2,35045,51.4,48.6,19781,85655," [(['White alone'], ['8,771']), (['Hispanic'], ['660']), (['Black alone'], ['240']), (['Two or more races'], ['177']), (['Asian alone'], ['25']), (['American Indian alone'], ['20']), (['Other race alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Northumberland-County
1421,Sunrise Lake,1387,35.7,63442,64.6,35.4,30813,187492," [(['White alone'], ['1,189']), (['Hispanic'], ['129']), (['Black alone'], ['40']), (['Two or more races'], ['20']), (['Asian alone'], ['7']), (['American Indian alone'], ['2'])] ",Pike-County
1422,Susquehanna Depot,1572,39.3,34198,46.9,53.1,16188,87725," [(['White alone'], ['1,571']), (['Hispanic'], ['33']), (['Asian alone'], ['16']), (['Two or more races'], ['12']), (['Black alone'], ['6']), (['American Indian alone'], ['5'])] ",Susquehanna-County
1423,Susquehanna Trails,2264,30.2,71002,50.5,49.5,24916,145428," [(['White alone'], ['2,165']), (['Two or more races'], ['41']), (['Hispanic'], ['27']), (['Black alone'], ['19']), (['American Indian alone'], ['6']), (['Asian alone'], ['5']), (['Other race alone'], ['1'])] ",York-County
1424,Sutersville,588,37.7,39849,50.3,49.7,19186,91886," [(['White alone'], ['600']), (['Two or more races'], ['5'])] ",Westmoreland-County
1425,Swarthmore,6202,31.2,94197,48.9,51.1,46895,387943," [(['White alone'], ['4,896']), (['Asian alone'], ['467']), (['Hispanic'], ['305']), (['Black alone'], ['294']), (['Two or more races'], ['198']), (['American Indian alone'], ['15']), (['Other race alone'], ['15']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['4'])]",Delaware-County
1426,Swartzville,2283,48.6,61335,50.1,49.9,29740,196400," [(['White alone'], ['2,086']), (['Asian alone'], ['101']), (['Hispanic'], ['41']), (['Black alone'], ['32']), (['Two or more races'], ['21']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Lancaster-County
1427,Sweden Valley,223,43.5,42421,58.6,41.4,23793,105166," [(['White alone'], ['214']), (['Hispanic'], ['6']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Two or more races'], ['1'])] ",Potter-County
1428,Swissvale,8906,41.1,41716,44.7,55.3,26550,85589," [(['White alone'], ['5,291']), (['Black alone'], ['2,791']), (['Two or more races'], ['330']), (['Hispanic'], ['223']), (['Asian alone'], ['178']), (['American Indian alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['7'])]",Allegheny-County
1429,Swoyersville,5000,49.3,56071,47.3,52.7,27374,119203," [(['White alone'], ['4,943']), (['Hispanic'], ['51']), (['Black alone'], ['25']), (['Two or more races'], ['25']), (['Asian alone'], ['13']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Luzerne-County
1430,Sykesville,1141,43.6,36283,52.5,47.5,21295,67896," [(['White alone'], ['1,135']), (['Two or more races'], ['8']), (['Hispanic'], ['7']), (['Black alone'], ['3']), (['Asian alone'], ['2']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Jefferson-County
1431,Sylvania,217,39.9,50537,53.0,47.0,23146,112433," [(['White alone'], ['211']), (['Two or more races'], ['5']), (['Asian alone'], ['2']), (['American Indian alone'], ['1'])] ",Bradford-County
1432,Tamaqua,6899,38.0,35418,50.3,49.7,18890,57514," [(['White alone'], ['6,708']), (['Hispanic'], ['252']), (['Two or more races'], ['75']), (['Black alone'], ['39']), (['Asian alone'], ['23']), (['American Indian alone'], ['10'])] ",Schuylkill-County
1433,Tarentum,4489,36.4,34109,50.3,49.7,20795,61182," [(['White alone'], ['4,140']), (['Black alone'], ['231']), (['Two or more races'], ['77']), (['Hispanic'], ['47']), (['Asian alone'], ['22']), (['American Indian alone'], ['9']), (['Other race alone'], ['4'])] ",Allegheny-County
1434,Tatamy,1138,41.4,79669,51.6,48.4,33569,207189," [(['White alone'], ['1,072']), (['Hispanic'], ['52']), (['Black alone'], ['35']), (['Asian alone'], ['27']), (['Two or more races'], ['12']), (['Other race alone'], ['5'])] ",Northampton-County
1435,Taylorstown,217,43.1,57998,50.7,49.3,32270,167100," [(['White alone'], ['210']), (['Two or more races'], ['4']), (['Asian alone'], ['2']), (['Hispanic'], ['1'])] ",Washington-County
1436,Taylor,6163,42.6,43495,45.8,54.2,21429,119967," [(['White alone'], ['5,764']), (['Hispanic'], ['333']), (['Black alone'], ['54']), (['Two or more races'], ['59']), (['Asian alone'], ['39']), (['Other race alone'], ['8']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lackawanna-County
1437,Telford,4870,38.9,64267,45.5,54.5,31205,230677," [(['White alone'], ['4,003']), (['Hispanic'], ['389']), (['Asian alone'], ['265']), (['Black alone'], ['121']), (['Two or more races'], ['79']), (['Other race alone'], ['10']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Montgomery-County
1438,Templeton,325,41.6,47398,50.7,49.3,24805,94500," [(['White alone'], ['320']), (['Two or more races'], ['3']), (['Black alone'], ['2'])] ",Armstrong-County
1439,Temple,1877,44.1,59286,43.4,56.6,29321,174800," [(['White alone'], ['1,453']), (['Hispanic'], ['315']), (['Black alone'], ['60']), (['Two or more races'], ['24']), (['Asian alone'], ['18']), (['American Indian alone'], ['4']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['3'])]",Berks-County
1440,Terre Hill,1359,34.0,58242,49.4,50.6,25010,208611," [(['White alone'], ['1,230']), (['Hispanic'], ['27']), (['Asian alone'], ['18']), (['Two or more races'], ['10']), (['Black alone'], ['9']), (['American Indian alone'], ['1'])] ",Lancaster-County
1441,Tharptown (Uniontown),498,56.2,47736,52.4,47.6,25018,118700," [(['White alone'], ['491']), (['Hispanic'], ['3']), (['Asian alone'], ['2']), (['Two or more races'], ['2'])] ",Northumberland-County
1442,The Hideout,3013,54.6,52449,51.3,48.7,25902,181160," [(['White alone'], ['2,720']), (['Hispanic'], ['158']), (['Black alone'], ['81']), (['Two or more races'], ['38']), (['Asian alone'], ['8']), (['American Indian alone'], ['5']), (['Other race alone'], ['3'])] ",Wayne-County
1443,Thompsontown,684,41.1,43410,50.4,49.6,23446,116482," [(['White alone'], ['685']), (['Two or more races'], ['5']), (['Asian alone'], ['3']), (['Hispanic'], ['3']), (['Black alone'], ['1'])] ",Juniata-County
1444,Thompsonville,3520,50.5,97236,50.9,49.1,46790,298531," [(['White alone'], ['3,393']), (['Hispanic'], ['51']), (['Asian alone'], ['35']), (['Black alone'], ['23']), (['Two or more races'], ['14']), (['American Indian alone'], ['4'])] ",Washington-County
1445,Thompson,279,39.2,37867,53.2,46.8,19534,121154," [(['White alone'], ['294']), (['Two or more races'], ['2']), (['Hispanic'], ['2']), (['Black alone'], ['1'])] ",Susquehanna-County
1446,Thornburg,456,50.1,140461,46.5,53.5,72078,319702," [(['White alone'], ['441']), (['Two or more races'], ['5']), (['Hispanic'], ['5']), (['Asian alone'], ['4'])] ",Allegheny-County
1447,Thorndale,3407,34.8,89715,58.1,41.9,47492,230364," [(['White alone'], ['2,803']), (['Black alone'], ['296']), (['Hispanic'], ['148']), (['Asian alone'], ['106']), (['Two or more races'], ['42']), (['Other race alone'], ['8']), (['American Indian alone'], ['4'])] ",Chester-County
1448,Three Springs,436,44.4,43572,50.1,49.9,23249,116170," [(['White alone'], ['437']), (['Two or more races'], ['5']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Huntingdon-County
1449,Throop,4049,40.1,48216,45.5,54.5,27301,116867," [(['White alone'], ['3,888']), (['Hispanic'], ['80']), (['Black alone'], ['41']), (['Two or more races'], ['38']), (['Asian alone'], ['24']), (['American Indian alone'], ['8']), (['Other race alone'], ['8']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lackawanna-County
1450,Tidioute,672,52.0,32867,46.2,53.8,20036,77551," [(['White alone'], ['679']), (['Hispanic'], ['6']), (['Two or more races'], ['3'])] ",Warren-County
1451,Timber Hills,360,63.5,78416,50.0,50.0,46172,318607," [(['White alone'], ['353']), (['Hispanic'], ['7'])] ",Lebanon-County
1452,Tinicum Township,4376,38.1,58208,49.9,50.1,27864,173119," [(['White alone'], ['4,197']), (['Hispanic'], ['55']), (['Two or more races'], ['47']), (['Black alone'], ['32']), (['Asian alone'], ['19']), (['American Indian alone'], ['3'])] ",Delaware-County
1453,Tioga,666,31.9,38738,47.1,52.9,19780,46717," [(['White alone'], ['653']), (['Two or more races'], ['7']), (['Black alone'], ['4']), (['American Indian alone'], ['1']), (['Hispanic'], ['1'])] ",Tioga-County
1454,Tionesta,463,65.8,31909,44.3,55.7,27938,98003," [(['White alone'], ['473']), (['Two or more races'], ['4']), (['Hispanic'], ['4']), (['Black alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Forest-County
1455,Tipton,1083,50.6,69239,46.7,53.3,33594,127331," [(['White alone'], ['1,071']), (['Black alone'], ['4']), (['Hispanic'], ['4']), (['Two or more races'], ['2']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Blair-County
1456,Titusville,5419,39.8,31054,47.0,53.0,19749,77478," [(['White alone'], ['5,323']), (['Black alone'], ['96']), (['Hispanic'], ['69']), (['Two or more races'], ['54']), (['Asian alone'], ['39']), (['American Indian alone'], ['17']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['Other race alone'], ['1'])]",Crawford-County
1457,Toftrees,2053,30.7,60266,44.2,55.8,31158,224400," [(['White alone'], ['1,746']), (['Asian alone'], ['156']), (['Black alone'], ['58']), (['Hispanic'], ['50']), (['Two or more races'], ['39']), (['Other race alone'], ['3']), (['American Indian alone'], ['1'])] ",Centre-County
1458,Topton,2059,39.7,65458,47.0,53.0,32640,157734," [(['White alone'], ['1,979']), (['Hispanic'], ['58']), (['Two or more races'], ['14']), (['Black alone'], ['12']), (['American Indian alone'], ['5']), (['Asian alone'], ['1'])] ",Berks-County
1459,Toughkenamon,1492,29.8,53994,49.7,50.3,23491,311354," [(['Hispanic'], ['865']), (['White alone'], ['578']), (['Black alone'], ['41']), (['Other race alone'], ['3']), (['Two or more races'], ['3']), (['Asian alone'], ['2'])] ",Chester-County
1460,Towamensing Trails,2292,43.1,51676,57.9,42.1,26306,139000," [(['White alone'], ['1,917']), (['Hispanic'], ['169']), (['Black alone'], ['159']), (['Two or more races'], ['23']), (['Asian alone'], ['21']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Carbon-County
1461,Towanda,2841,41.1,47210,48.3,51.7,29465,132989," [(['White alone'], ['2,761']), (['Hispanic'], ['71']), (['Two or more races'], ['54']), (['Black alone'], ['18']), (['Asian alone'], ['10']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Bradford-County
1462,Tower City,1320,40.9,53280,51.3,48.7,23070,76481," [(['White alone'], ['1,312']), (['Hispanic'], ['18']), (['Two or more races'], ['8']), (['American Indian alone'], ['5']), (['Black alone'], ['1']), (['Asian alone'], ['1']), (['Other race alone'], ['1'])] ",Schuylkill-County
1463,Townville,320,44.0,40547,46.0,54.0,19988,93896," [(['White alone'], ['321']), (['Hispanic'], ['2'])] ",Crawford-County
1464,Trafford,3162,40.7,49285,46.4,53.6,31896,117119," [(['White alone'], ['3,024']), (['Black alone'], ['50']), (['Asian alone'], ['36']), (['Two or more races'], ['33']), (['Hispanic'], ['28']), (['Other race alone'], ['3'])] ",Westmoreland-County
1465,Trainer,1846,30.7,45716,46.6,53.4,20024,104813," [(['White alone'], ['1,358']), (['Black alone'], ['329']), (['Hispanic'], ['101']), (['Two or more races'], ['25']), (['Asian alone'], ['10']), (['Other race alone'], ['4']), (['American Indian alone'], ['1'])] ",Delaware-County
1466,Trappe,3556,38.9,82673,50.4,49.6,38895,255378," [(['White alone'], ['3,070']), (['Asian alone'], ['157']), (['Black alone'], ['112']), (['Hispanic'], ['95']), (['Two or more races'], ['55']), (['American Indian alone'], ['9']), (['Other race alone'], ['10']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Montgomery-County
1467,Treasure Lake,3861,44.5,67817,51.0,49.0,25820,167419," [(['White alone'], ['3,703']), (['Asian alone'], ['79']), (['Two or more races'], ['38']), (['Hispanic'], ['30']), (['Black alone'], ['10']), (['American Indian alone'], ['1'])] ",Clearfield-County
1468,Tremont,1722,46.1,44377,47.9,52.1,22186,70637," [(['White alone'], ['1,720']), (['Black alone'], ['10']), (['Two or more races'], ['9']), (['Hispanic'], ['9']), (['Asian alone'], ['2']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Schuylkill-County
1469,Tresckow,880,52.0,43801,49.7,50.3,24866,98176," [(['White alone'], ['855']), (['Hispanic'], ['18']), (['Two or more races'], ['5']), (['Black alone'], ['2'])] ",Carbon-County
1470,Trevorton,1834,47.6,52744,46.0,54.0,24610,81525," [(['White alone'], ['1,800']), (['Two or more races'], ['14']), (['Asian alone'], ['9']), (['Hispanic'], ['9']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Northumberland-County
1471,Trevose,3550,38.3,79936,49.4,50.6,40787,322400," [(['White alone'], ['3,259']), (['Hispanic'], ['100']), (['Asian alone'], ['84']), (['Black alone'], ['66']), (['Two or more races'], ['32']), (['American Indian alone'], ['6']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['3'])]",Bucks-County
1472,Trexlertown,1988,34.9,60498,52.8,47.2,32424,198800," [(['White alone'], ['1,607']), (['Asian alone'], ['161']), (['Hispanic'], ['95']), (['Black alone'], ['81']), (['Two or more races'], ['39']), (['Other race alone'], ['4']), (['American Indian alone'], ['1'])] ",Lehigh-County
1473,Trooper,5744,41.8,101066,46.8,53.2,40914,317234," [(['White alone'], ['4,990']), (['Asian alone'], ['386']), (['Hispanic'], ['185']), (['Black alone'], ['128']), (['Two or more races'], ['46']), (['Other race alone'], ['6']), (['American Indian alone'], ['3'])] ",Montgomery-County
1474,Troutville,237,41.5,61087,52.6,47.4,23531,107954," [(['White alone'], ['239']), (['Hispanic'], ['4'])] ",Clearfield-County
1475,Troxelville,221,29.8,64467,52.9,47.1,19418,108177," [(['White alone'], ['217']), (['Two or more races'], ['3']), (['Black alone'], ['1'])] ",Snyder-County
1476,Troy,1283,45.7,53128,45.0,55.0,22365,146277," [(['White alone'], ['1,309']), (['Two or more races'], ['14']), (['Black alone'], ['12']), (['Asian alone'], ['9']), (['Hispanic'], ['7']), (['American Indian alone'], ['3'])] ",Bradford-County
1477,Trucksville,2152,41.0,46580,45.4,54.6,26893,123400," [(['White alone'], ['2,088']), (['Two or more races'], ['22']), (['Black alone'], ['15']), (['Hispanic'], ['14']), (['Asian alone'], ['10']), (['Other race alone'], ['2']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Luzerne-County
1478,Trumbauersville,962,37.3,73044,53.5,46.5,34289,236627," [(['White alone'], ['929']), (['Hispanic'], ['30']), (['Asian alone'], ['8']), (['American Indian alone'], ['3']), (['Two or more races'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Bucks-County
1479,Tullytown,1862,44.4,62944,47.5,52.5,31152,245835," [(['White alone'], ['1,731']), (['Hispanic'], ['57']), (['Black alone'], ['50']), (['Two or more races'], ['18']), (['Asian alone'], ['7']), (['Other race alone'], ['5']), (['American Indian alone'], ['4'])] ",Bucks-County
1480,Tunkhannock,1805,49.3,38967,49.9,50.1,28600,162888," [(['White alone'], ['1,745']), (['Two or more races'], ['25']), (['Hispanic'], ['24']), (['Asian alone'], ['21']), (['Black alone'], ['16']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Wyoming-County
1481,Tunnelhill,356,44.9,48993,55.9,44.1,23923,98483," [(['White alone'], ['359']), (['Asian alone'], ['4'])] ",Cambria-County
1482,Turbotville,692,37.9,64077,50.2,49.8,29449,143592," [(['White alone'], ['687']), (['Hispanic'], ['10']), (['Black alone'], ['7']), (['American Indian alone'], ['1'])] ",Northumberland-County
1483,Turtle Creek,5301,40.7,34439,44.6,55.4,20747,69938," [(['White alone'], ['4,167']), (['Black alone'], ['912']), (['Two or more races'], ['142']), (['Hispanic'], ['71']), (['Asian alone'], ['34']), (['American Indian alone'], ['13']), (['Other race alone'], ['10'])] ",Allegheny-County
1484,Tuscarora,980,40.8,52237,51.8,48.2,25171,80479," [(['White alone'], ['960']), (['Hispanic'], ['12']), (['American Indian alone'], ['2']), (['Asian alone'], ['2']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Schuylkill-County
1485,Twilight,231,53.7,54183,49.3,50.7,23342,131216," [(['White alone'], ['230']), (['Black alone'], ['3'])] ",Washington-County
1486,Tyler Run-Queens Gate,3222,45.2,53155,45.1,54.9,35933,186307," [(['White alone'], ['2,731']), (['Black alone'], ['87']), (['Asian alone'], ['50']), (['Hispanic'], ['38']), (['Two or more races'], ['13']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2']), (['Other race alone'], ['2'])]",York-County
1487,Tyler Run,1901,56.8,62462,49.3,50.7,29610,172000," [(['White alone'], ['1,773']), (['Black alone'], ['64']), (['Hispanic'], ['25']), (['Asian alone'], ['23']), (['Two or more races'], ['15']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",York-County
1488,Tyrone,5380,41.3,40444,50.3,49.7,23308,92901," [(['White alone'], ['5,293']), (['Two or more races'], ['62']), (['Hispanic'], ['56']), (['Black alone'], ['37']), (['American Indian alone'], ['16']), (['Asian alone'], ['13'])] ",Blair-County
1489,Ulysses,608,39.0,24797,45.5,54.5,18189,87517," [(['White alone'], ['612']), (['Black alone'], ['5']), (['Two or more races'], ['2']), (['Hispanic'], ['2'])] ",Potter-County
