,County,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic
981,DAUPHIN,1788,KUNKEL EL SCH,27.25,48.33,18.62,5.81
982,BUCKS,1047,KUTZ EL SCH,55.48,32.24,8.5,3.78
983,BERKS,6315,KUTZTOWN AREA MS,14.88,37.87,30.33,16.98
984,BERKS,6316,KUTZTOWN EL SCH,18.76,38.72,30.39,12.21
985,CARBON,6965,L B MORRIS EL SCH,12.0,32.01,32.08,23.92
986,LANCASTER,7538,LA ACADEMIA CS,0.68,10.1,38.51,50.7
987,PHILADELPHIA,6825,LA BRUM GEN J HARRY,11.93,23.32,34.97,29.82
988,JUNIATA,2399,LACK-TUSCARORA EL SCH,8.73,21.73,37.38,32.19
989,WYOMING,4524,LACKAWANNA TRAIL EL,26.67,34.27,25.12,13.94
990,WYOMING,4528,LACKAWANNA TRAIL JSH,13.55,26.38,33.16,26.89
991,LANCASTER,2584,LAFAYETTE EL SCH,6.45,27.33,35.1,31.1
992,FAYETTE,7933,LAFAYETTE ELEM SCHOOL,2.69,24.7,31.76,40.86
993,FAYETTE,7934,LAFAYETTE MIDDLE SCHOOL,4.8,20.54,32.04,42.7
994,LUZERNE,2924,LAKE-LEHMAN JSHS,17.68,33.81,28.07,20.46
995,LUZERNE,7060,LAKE-NOXEN EL SCH,17.25,38.81,32.0,11.99
996,LACKAWANNA,6403,LAKELAND EL SCH,9.85,42.93,31.4,15.81
997,LACKAWANNA,6404,LAKELAND JSHS,14.36,35.26,28.84,21.58
998,WAYNE,7446,LAKESIDE ELEMENTARY SCHOOL,29.87,38.41,19.13,12.64
999,DELAWARE,4705,LAKEVIEW EL SCH,18.01,38.62,25.25,18.14
1000,MERCER,7069,LAKEVIEW MS,16.78,35.26,31.02,16.99
1001,CUMBERLAND,7011,LAMBERTON MS,23.05,38.08,23.9,14.95
1002,PHILADELPHIA,3670,LAMBERTON ROBERT E SCH,0.87,10.33,30.96,57.82
1003,LANCASTER,8246,LANDIS RUN INTERMEDIATE SCHOOL,32.5,36.81,21.05,9.65
1004,LANCASTER,6294,LANDISVILLE INTRMD CS,30.54,34.62,23.97,10.86
1005,LANCASTER,7421,LANDISVILLE MS,23.27,38.85,25.29,12.6
1006,LANCASTER,7442,LANDISVILLE PRIMARY CTR,34.3,42.55,11.95,11.2
1007,YORK,8050,LARRY MACALUSO EL SCH,25.94,41.26,24.51,8.26
1008,SUSQUEHANNA,6421,LATHROP STREET EL SCH,19.36,34.05,31.08,15.51
1009,WESTMORELAND,4386,LATROBE EL SCH,31.66,38.38,22.35,7.62
1010,BERKS,852,LAUERS PARK EL SCH,5.0,18.29,32.97,43.79
1011,LAWRENCE,7001,LAUREL EL SCH,27.76,39.1,24.21,8.85
1012,FAYETTE,5146,LAUREL HIGHLANDS MS,8.24,30.54,32.53,28.64
1013,LAWRENCE,2680,LAUREL JSHS,15.3,38.49,29.69,16.57
1014,WESTMORELAND,6940,LAUREL VALLEY EL SCH,18.22,33.25,25.54,22.99
1015,DAUPHIN,7306,LAWNTON EL SCH,9.94,35.05,35.96,19.05
1016,PHILADELPHIA,3744,LAWTON HENRY W SCH,4.65,23.57,31.61,40.17
1017,PHILADELPHIA,6530,LEA HENRY C SCH,4.13,11.16,29.84,54.82
1018,YORK,4701,LEADERS HEIGHTS EL SCH,23.55,51.0,18.65,6.9
1019,LEBANON,2754,LEBANON MS,4.42,20.27,34.62,40.68
1020,LUZERNE,2888,LEE PARK EL SCH,4.08,35.33,35.67,24.92
1021,ARMSTRONG,7923,LEECHBURG AREA JSHS,7.54,23.37,37.87,31.24
1022,DELAWARE,1930,LEEDOM EL SCH,22.33,45.83,26.46,5.38
1023,PHILADELPHIA,8295,LEEDS MORRIS E MS,0.85,6.85,30.78,61.58
1024,NORTHAMPTON,3499,LEHIGH  ELEM SCHOOL,23.01,38.16,26.61,12.17
1025,LEHIGH,2775,LEHIGH PARKWAY EL SCH,13.05,27.84,30.46,28.72
1026,NORTHAMPTON,7681,LEHIGH VALLEY ACADEMY REG CS,21.87,39.49,25.2,13.43
1027,NORTHAMPTON,8130,LEHIGH VALLEY DUAL LANGUAGE CS,4.1,21.1,37.05,37.75
1028,CARBON,1314,LEHIGHTON AREA MS,14.23,34.72,32.15,18.95
1029,MONROE,7642,LEHMAN INTERMEDIATE,14.97,30.36,32.87,21.76
1030,LUZERNE,2922,LEHMAN-JACKSON EL SCH,26.91,41.5,22.04,9.51
1031,YORK,4557,LEIB EL SCH,24.06,34.72,26.93,14.3
1032,ARMSTRONG,5002,LENAPE EL SCH,17.69,36.91,28.4,16.96
1033,BUCKS,1041,LENAPE MS,42.35,37.42,12.15,8.05
1034,SCHUYLKILL,5265,LENGEL MS,10.81,31.4,31.95,25.81
1035,DAUPHIN,1793,LENKERVILLE EL SCH,13.5,41.71,31.55,13.27
1036,LANCASTER,2522,LEOLA EL SCH,17.59,37.62,25.35,19.43
1037,LANCASTER,2627,LETORT EL SCH,29.81,37.07,18.7,14.39
1038,WESTMORELAND,6186,LEVEL GREEN EL SCH,35.69,42.75,18.36,3.17
1039,BLAIR,914,LEWIS M. MYERS EL.,25.7,37.24,23.59,13.46
1040,MIFFLIN,7789,LEWISTOWN EL SCH,10.6,25.2,32.7,31.5
1041,MIFFLIN,8184,LEWISTOWN INTRMD SCH,13.5,31.84,30.61,24.05
1042,LEHIGH,8073,LIBERTY BELL EL SCH,37.1,42.15,14.05,6.75
1043,CLINTON,4917,LIBERTY CURTIN EL SCH,10.21,35.22,25.36,29.21
1044,TIOGA,4062,LIBERTY EL SCH,10.67,37.62,30.67,21.06
1045,TIOGA,4064,LIBERTY JSHS,9.62,30.58,35.82,24.03
1046,MONTOUR,4833,LIBERTY-VALLEY EL SCH,28.56,40.33,19.39,11.71
1047,LEBANON,2756,LICKDALE EL SCH,23.1,39.53,22.73,14.64
1048,WESTMORELAND,4440,LIGONIER VALLEY MS,27.46,39.49,22.99,10.07
1049,MONTGOMERY,3358,LIMERICK EL SCH,40.52,42.31,12.42,4.73
1050,YORK,7675,LINCOLN CHARTER SCHOOL,5.31,23.22,37.07,34.49
1051,NORTHAMPTON,3443,LINCOLN EL SCH,23.06,34.89,25.0,17.03
1052,ALLEGHENY,7870,LINCOLN EL TECH ACADEMY,1.17,16.65,32.9,49.18
1053,LAWRENCE,2675,LINCOLN JSHS,16.59,34.11,27.51,21.81
1054,LEHIGH,8125,LINCOLN LEADERSHIP ACAD CS,3.57,20.42,39.01,37.0
1055,LANCASTER,2595,LINCOLN MS,4.69,19.99,36.76,38.56
1056,BEAVER,7859,LINCOLN PARK PERFORMING ARTS CS,25.24,39.06,22.9,12.8
1057,YORK,4625,LINCOLNWAY EL SCH,24.15,45.7,21.3,8.85
1058,BUCKS,1057,LINDEN EL SCH,30.62,33.6,20.13,15.67
1059,NORTHUMBERLAND,6786,LINE MOUNTAIN ELEMENTARY,30.46,39.04,20.94,9.54
1060,NORTHUMBERLAND,8286,LINE MOUNTAIN MS,16.74,36.6,30.73,15.95
1061,PHILADELPHIA,3717,LINGELBACH ANNA L SCH,3.99,18.87,33.74,43.43
1062,LEBANON,8157,LINGLE AVENUE EL SCH,47.19,37.65,11.27,3.85
1063,DAUPHIN,1777,LINGLESTOWN EL SCH,28.97,39.55,22.08,9.45
1064,DAUPHIN,6783,LINGLESTOWN MS,17.26,39.53,26.98,16.23
1065,UNION,4081,LINNTOWN EL SCH,42.12,37.6,15.77,4.51
1066,ALLEGHENY,5019,LINTON MS,4.45,20.55,34.04,40.97
1067,DELAWARE,1847,LINWOOD EL SCH,22.07,35.12,19.02,23.75
1068,CHESTER,6476,LIONVILLE EL SCH,45.06,37.36,12.78,4.85
1069,CHESTER,7516,LIONVILLE MD SCH,33.25,40.56,17.87,8.32
1070,LANCASTER,2660,LITITZ EL SCH,24.59,42.51,21.43,11.52
1071,PHILADELPHIA,4732,LOCKE ALAIN SCH,0.34,5.22,25.18,69.27
1072,YORK,4593,LOCUST GROVE EL SCH,28.14,36.92,25.09,9.85
1073,PHILADELPHIA,4961,LOESCHE WILLIAM H SCH,18.65,41.19,26.26,13.91
1074,BUCKS,7274,LOG COLLEGE MS,10.64,32.75,36.3,20.34
1075,BLAIR,933,LOGAN EL SCH,10.15,30.31,32.23,27.31
1076,PHILADELPHIA,3718,LOGAN SCH,4.35,17.83,25.65,52.17
1077,YORK,4547,LOGANVILLE-SPRINGFIELD ELEM,34.73,42.25,16.29,6.68
1078,DAUPHIN,1775,LONDONDERRY EL SCH,28.86,41.92,17.08,12.09
1079,PHILADELPHIA,6533,LONGSTRETH WILLIAM C SCH,0.86,7.5,27.67,64.0
1080,JEFFERSON,8079,LONGVIEW EL SCH,20.0,20.0,40.0,20.0
1081,DELAWARE,1899,LOOMIS EL SCH,21.86,39.92,25.55,12.67
1082,BERKS,786,LORANE EL SCH,30.55,40.16,18.21,11.1
1083,BUCKS,7836,LOUIS F PFAFF ELEM SCHOOL,38.59,39.47,16.62,5.37
1084,PHILADELPHIA,7232,LOWELL JAMES R SCH,7.17,20.08,33.86,38.85
1085,DAUPHIN,7414,LOWER DAUPHIN MS,23.17,40.47,24.25,12.1
1086,MONTGOMERY,7491,LOWER GWYNEDD EL SCH,49.4,34.83,12.29,3.44
1087,LEHIGH,7559,LOWER MACUNGIE MS,17.82,38.21,28.48,15.5
1088,LEHIGH,8074,LOWER MILFORD EL SCH,35.1,42.55,14.9,7.45
1089,NORTHAMPTON,8055,LOWER NAZARETH EL SCH,17.55,57.45,20.75,4.25
1090,MONTGOMERY,3334,LOWER POTTSGROVE EL,23.15,37.78,26.55,12.57
1091,BUCKS,1065,LOWER SOUTHAMPTON ES,31.83,42.89,18.92,6.34
1092,LYCOMING,3037,LOYALSOCK TWP MS,18.91,38.88,29.1,13.07
1093,LYCOMING,3044,LOYALSOCK VALLEY EL,37.27,36.41,18.81,7.51
1094,PHILADELPHIA,3694,LUDLOW JAMES R SCH,2.73,19.53,34.15,43.53
1095,LEHIGH,8140,LUIS A RAMOS ES,4.58,27.57,33.04,34.81
1096,FRANKLIN,2225,LURGAN EL SCH,15.36,36.79,32.43,15.39
1097,MERCER,6803,LUTHER W LOW EL SCH,26.6,45.75,19.15,8.5
1098,CLEARFIELD,1530,LUTHERSBURG EL SCH,42.86,39.08,14.27,3.81
1099,LYCOMING,6861,LYCOMING VALLEY MS,18.58,34.97,27.48,18.98
1100,BRADFORD,4918,LYNCH EL SCH,16.81,35.59,26.91,20.65
1101,DELAWARE,1874,LYNNEWOOD EL SCH,44.64,37.13,14.15,4.03
1102,LYCOMING,3042,LYTER EL,45.14,38.98,13.59,2.25
1103,LEHIGH,2804,MACUNGIE EL SCH,27.58,43.25,20.52,8.64
1104,SCHUYLKILL,7223,MAHANOY AREA EL SCH,15.98,37.37,28.36,18.28
1105,SCHUYLKILL,3902,MAHANOY AREA MS,7.94,27.05,34.1,30.92
1106,SCHUYLKILL,3954,MAHANTONGO EL SCH,22.14,50.89,19.15,7.78
1107,CARBON,1311,MAHONING EL SCH,21.17,42.31,25.94,10.58
1108,BERKS,791,MAIER EL SCH,31.56,41.68,19.72,7.02
1109,VENANGO,1663,MAIN STREET EL SCHOOL,30.71,41.96,17.01,10.33
1110,DELAWARE,1958,MAIN STREET SCH,2.94,18.31,27.31,51.48
1111,BUCKS,1109,MAKEFIELD EL SCH,32.15,38.06,19.01,10.82
1112,ALLEGHENY,7549,MANCHESTER ACADEMIC CS,3.03,25.96,34.55,36.42
1113,ALLEGHENY,7871,MANCHESTER EL SCH,5.21,21.39,31.87,41.49
1114,LANCASTER,7953,MANHEIM CENTRAL MS,22.27,36.52,26.02,15.18
1115,YORK,4605,MANHEIM EL SCH,30.4,42.23,21.77,5.62
1116,LANCASTER,5114,MANHEIM TWP MS,30.14,37.41,21.19,11.23
1117,DELAWARE,1875,MANOA EL SCH,44.39,36.7,13.9,5.05
1118,BUCKS,1107,MANOR EL SCH,25.57,41.61,22.74,10.08
1119,LANCASTER,7410,MANOR MIDDLE SCHOOL,22.83,35.69,25.62,15.86
1120,TIOGA,4068,MANSFIELD JSHS,15.47,37.05,29.21,18.27
1121,ADAMS,13,MAPLE AVENUE MS,12.26,36.4,31.29,20.13
1122,MONTGOMERY,7652,MAPLE GLEN EL,47.52,36.65,10.86,5.01
1123,LUZERNE,8334,MAPLE MANOR EL/MS,5.52,23.93,31.27,39.33
1124,BUCKS,7380,MAPLE POINT MS,18.84,37.52,28.53,15.11
1125,BUCKS,1022,MAPLE SHADE EL SCH,22.77,38.51,26.07,12.6
1126,HUNTINGDON,2295,MAPLETON-UNION EL SCH,9.17,24.55,34.35,31.92
1127,GREENE,2284,MAPLETOWN JSHS,6.48,28.0,38.49,27.03
1128,JEFFERSON,8080,MAPLEVIEW EL SCH,17.79,50.7,20.56,10.95
1129,CRAWFORD,6137,MAPLEWOOD EL SCH,15.42,36.15,31.6,16.81
1130,CRAWFORD,6942,MAPLEWOOD HS,16.5,35.19,29.7,18.69
1131,FAYETTE,2137,MARCLAY SCH,26.81,43.78,22.32,7.17
1132,DELAWARE,1893,MARCUS HOOK EL SCH,8.52,33.47,29.19,28.82
1133,BEAVER,7280,MARGARET ROSS ELEM SCH,31.42,41.39,20.96,6.29
1134,PHILADELPHIA,7672,MARIANA BRACETTI ACAD CS,2.54,17.78,33.24,46.42
1135,INDIANA,2339,MARION CENTER AREA H,13.69,34.51,29.64,22.13
1136,WESTMORELAND,4328,MARION EL SCH,19.67,39.85,29.16,11.31
1137,CENTRE,1340,MARION-WALKER EL SCH,28.96,44.7,19.37,6.97
1138,PHILADELPHIA,7777,MARITIME ACADEMY CS,9.46,34.15,34.06,22.34
1139,ALLEGHENY,247,MARKHAM EL SCH,62.95,27.57,7.75,1.74
1140,YORK,6641,MARKLE INTRMD SCH,20.11,37.92,28.54,13.46
1141,CHESTER,6479,MARKLEY EL SCH,55.35,32.37,10.02,2.24
1142,MONTGOMERY,7264,MARLBOROUGH EL SCH,22.48,44.7,22.7,10.11
1143,BUTLER,1155,MARS AREA  ELEMENTARY  SCH,40.74,38.99,15.8,4.45
1144,BUTLER,7929,MARS AREA CENTENNIAL SCHOOL,32.1,45.5,16.6,5.85
1145,BUTLER,5363,MARS AREA MS,27.88,41.68,20.62,9.82
1146,CHESTER,8309,MARSH CREEK 6TH GRADE CENTER,35.8,37.2,18.85,8.1
1147,FAYETTE,4820,MARSHALL EL SCH,34.78,38.67,19.16,7.4
1148,PHILADELPHIA,3797,MARSHALL JOHN SCH,1.88,12.8,28.75,56.57
1149,ALLEGHENY,7379,MARSHALL MS,42.27,35.7,15.69,6.3
1150,DAUPHIN,8266,MARSHALL SCH,0.0,7.89,23.71,68.4
1151,MONTGOMERY,3408,MARSHALL STREET EL SCH,15.28,34.83,27.6,22.3
1152,PHILADELPHIA,7521,MARSHALL THURGOOD,1.23,10.89,32.34,55.54
1153,LANCASTER,2628,MARTIC EL SCH,27.19,35.79,27.18,9.85
1154,LANCASTER,5238,MARTICVILLE MS,28.63,34.58,21.76,15.03
1155,LANCASTER,6297,MARTIN MEYLIN MS,33.0,36.2,20.76,10.05
1156,BLAIR,936,MARTINSBURG EL SCH,20.54,37.18,26.23,16.04
1157,NORTHAMPTON,3454,MARVINE EL SCH,1.42,23.19,39.58,35.85
1158,CHESTER,1457,MARY C HOWSE EL SCH,41.08,36.51,15.04,7.37
1159,ALLEGHENY,5101,MARZOLF PRIMARY SCH,47.05,34.6,13.55,4.8
1160,FAYETTE,6002,MASONTOWN CENTRAL EL,11.98,32.29,23.03,32.73
1161,PHILADELPHIA,7574,MAST COMMUNITY CS,36.95,38.4,18.67,5.94
1162,PHILADELPHIA,3808,MASTERMAN JULIA R SCH,71.91,25.76,2.17,0.2
1163,PHILADELPHIA,8153,MASTERY CHARTER SCHOOL HARRITY,5.01,19.98,33.24,41.72
1164,PHILADELPHIA,8152,MASTERY CHARTER SCHOOL MANN CA,5.96,27.67,35.18,31.19
1165,PHILADELPHIA,8151,MASTERY CHARTER SCHOOL SMEDLEY,7.54,21.94,31.47,39.09
1166,PHILADELPHIA,8259,MASTERY CS - CLEVELAND ELEMENT,3.45,18.14,32.63,45.78
1167,PHILADELPHIA,8208,MASTERY CS - CLYMER ELEMENTARY,3.27,19.86,35.41,41.45
1168,PHILADELPHIA,8207,MASTERY CS - GRATZ CAMPUS,1.08,12.52,31.92,54.53
1169,PHILADELPHIA,7588,MASTERY CS - HARDY WILLIAMS,3.05,22.93,35.56,38.51
1170,PHILADELPHIA,7678,MASTERY CS - LENFEST CAMPUS,1.18,19.41,29.18,50.2
1171,PHILADELPHIA,8288,MASTERY CS - PASTORIUS EL,2.17,17.67,34.27,45.87
1172,PHILADELPHIA,7961,MASTERY CS - PICKETT CAMPUS,0.78,13.57,35.58,50.08
1173,PHILADELPHIA,7909,MASTERY CS - SHOEMAKER CAMPUS,5.67,17.67,30.57,46.1
1174,PHILADELPHIA,7910,MASTERY CS - THOMAS CAMPUS,11.38,26.15,31.46,30.92
1175,PHILADELPHIA,7582,MATH CIVICS & SCIENCES CS,3.74,19.11,38.23,38.97
1176,DAUPHIN,7901,MATH SCIENCE ACADEMY,6.84,44.99,38.26,9.87
1177,BUCKS,7657,MAUREEN M WELCH EL SCH,28.39,42.39,21.29,7.92
1178,WESTMORELAND,4394,MAXWELL EL SCH,38.28,42.55,13.69,5.47
1179,PHILADELPHIA,3769,MAYFAIR SCH,14.37,31.97,27.61,26.0
1180,LACKAWANNA,7146,MAYFIELD EL SCH,9.65,37.54,28.71,24.09
1181,YORK,4595,MAZIE GABLE EL SCH,16.93,39.11,28.28,15.73
1182,LUZERNE,8245,MCADOO-KELAYRES EL/MS,9.12,27.88,34.23,28.76
1183,PHILADELPHIA,3648,MCCALL GEN GEORGE A,32.12,33.62,20.29,13.97
1184,ALLEGHENY,519,MCCLELLAN EL SCH,34.15,39.45,19.85,6.5
1185,PHILADELPHIA,3719,MCCLOSKEY JOHN F SCH,3.23,24.23,40.5,32.0
1186,PHILADELPHIA,6534,MCCLURE ALEXANDER K SCH,1.0,13.4,25.11,60.47
1187,ALLEGHENY,499,MCCLURE MS,12.17,30.57,26.43,30.81
1188,FULTON,2248,MCCONNELLSBURG EL SCH,20.3,45.96,24.15,9.55
1189,FULTON,7734,MCCONNELLSBURG MS,15.54,36.23,29.11,19.12
1190,ALLEGHENY,7952,MCCORMICK ELEM SCH,35.98,38.84,16.02,9.13
1191,WESTMORELAND,4490,MCCULLOUGH EL SCH,42.99,42.62,10.64,3.79
1192,PHILADELPHIA,3629,MCDANIEL DELAPLAINE SCH,0.87,5.44,24.36,69.28
1193,BUCKS,5007,MCDONALD EL SCH,14.05,38.84,29.19,17.88
1194,WASHINGTON,6976,MCGUFFEY MS,15.62,35.72,30.77,17.85
1195,ALLEGHENY,8052,MCINTYRE EL SCH,41.03,37.95,15.89,5.13
1196,ERIE,2039,MCKEAN EL SCH,28.56,46.38,19.58,5.5
1197,ALLEGHENY,5366,MCKEE EL SCH,29.16,44.09,18.11,8.64
1198,LEHIGH,2777,MCKINLEY EL SCH,4.04,17.1,31.68,47.13
1199,YORK,8242,MCKINLEY SCH,20.39,28.12,23.77,27.71
1200,PHILADELPHIA,5293,MCKINLEY WILLIAM SCH,1.46,14.91,32.03,51.64
1201,ALLEGHENY,268,MCKNIGHT EL SCH,38.99,39.24,16.09,5.66
1202,PHILADELPHIA,3611,MCMICHAEL MORTON SCH,0.8,6.99,29.03,63.18
1203,WASHINGTON,7393,MCMURRAY EL SCH,40.61,43.38,11.62,4.33
1204,LACKAWANNA,6970,MCNICHOLS PLAZA,11.67,21.72,33.08,33.57
1205,BUTLER,1138,MCQUISTION EL SCH,29.02,37.08,23.14,10.78
1206,CRAWFORD,1653,MEADVILLE AREA MIDDLE SCHOOL,17.8,33.59,24.75,23.86
1207,CUMBERLAND,1715,MECHANICSBURG MIDDLE SCHOOL,25.51,36.54,26.75,11.18
1208,DELAWARE,6514,MEDIA EL SCH,46.49,34.19,14.63,4.65
1209,PHILADELPHIA,6768,MEEHAN AUSTIN MS,4.44,17.6,33.06,44.92
1210,WYOMING,6993,MEHOOPANY EL SCH,26.64,36.68,27.32,9.32
1211,WESTMORELAND,5361,MELLON EL SCH,35.5,39.17,16.34,8.94
1212,DAUPHIN,8267,MELROSE SCH,6.07,25.64,28.31,39.99
1213,COLUMBIA,1606,MEMORIAL EL SCH,22.03,43.63,24.02,10.36
1214,PHILADELPHIA,8257,MEMPHIS STREET ACADEMY,0.59,6.76,33.74,58.91
1215,FAYETTE,2139,MENALLEN SCH,24.6,35.43,22.22,17.76
1216,WESTMORELAND,4507,MENDON EL SCH,21.74,36.9,30.33,11.11
1217,MERCER,3157,MERCER AREA EL SCH,29.08,39.34,18.58,13.04
1218,MERCER,7792,MERCER AREA MS,17.89,35.52,25.94,20.66
1219,FRANKLIN,6282,MERCERSBURG EL SCH,21.7,40.15,26.06,12.04
1220,PHILADELPHIA,3649,MEREDITH WILLIAM M SCH,33.78,42.83,17.77,5.61
1221,MONTGOMERY,3287,MERION EL SCH,66.52,24.32,7.52,1.59
1222,WESTMORELAND,5166,METZGAR EL SCH,31.88,37.57,18.48,12.07
1223,SOMERSET,6208,MEYERSDALE AREA EL,20.61,42.34,24.04,13.01
1224,SOMERSET,7613,MEYERSDALE MS,16.69,35.1,30.68,17.57
1225,LACKAWANNA,2423,MID VALLEY EL CTR,12.89,35.82,33.36,17.93
1226,LACKAWANNA,8304,MID VALLEY SECONDARY CENTER,12.51,34.54,27.33,25.64
1227,SNYDER,3962,MIDD-WEST HS,11.11,28.44,29.25,31.24
1228,SNYDER,7799,MIDD-WEST MS,8.2,36.05,38.7,17.05
1229,DAUPHIN,1791,MIDDLE PAXTON EL SCH,39.56,37.87,17.23,5.38
1230,MONROE,3201,MIDDLE SMITHFIELD EL,17.39,44.7,23.62,14.33
1231,PHILADELPHIA,7022,MIDDLE YEARS ALT SCH,5.22,25.18,37.37,32.18
1232,SNYDER,3961,MIDDLEBURG EL SCH,16.32,37.78,30.61,15.29
1233,CUMBERLAND,1697,MIDDLESEX EL SCH,27.83,33.01,21.25,17.95
1234,DAUPHIN,1785,MIDDLETOWN AREA MIDDLE SCHOOL,16.58,37.12,30.46,15.88
1235,BEAVER,6566,MIDLAND EL/MS,13.11,37.19,31.1,18.6
1236,MIFFLIN,8186,MIFFLIN COUNTY JHS,9.05,27.62,27.81,35.58
1237,MIFFLIN,8185,MIFFLIN COUNTY MS,9.55,28.44,35.59,26.46
1238,ALLEGHENY,7881,MIFFLIN EL SCH,8.79,30.12,31.61,29.48
1239,BERKS,8096,MIFFLIN PARK EL SCH,27.82,39.46,21.46,11.17
1240,PHILADELPHIA,3720,MIFFLIN THOMAS SCH,3.8,22.89,38.96,34.34
1241,UNION,7863,MIFFLINBURG AREA INTRMD SCHOOL,29.93,39.0,23.8,7.23
1242,UNION,6809,MIFFLINBURG AREA MS,13.69,37.65,31.57,17.09
1243,CENTRE,1346,MILES TOWNSHIP EL SCHOOL,10.62,30.59,31.78,27.08
1244,BUCKS,6781,MILFORD MS,32.45,39.1,18.98,9.51
1245,WYOMING,6992,MILL CITY EL SCH,31.06,36.64,20.65,11.63
1246,CLINTON,1570,MILL HALL EL SCH,17.48,34.14,28.99,19.39
1247,LANCASTER,2558,MILL ROAD EL SCH,38.1,38.1,19.05,4.75
1248,ERIE,5226,MILL VILLAGE EL SCH,45.45,35.09,14.9,4.56
1249,BUCKS,7654,MILLCREEK ELEMENTARY SCHOOL,40.62,37.42,16.54,5.37
1250,NORTHAMPTON,3455,MILLER HEIGHTS EL SCH,29.42,39.82,21.2,9.6
1251,GREENE,6010,MILLER MS,12.78,32.46,32.89,21.88
1252,DAUPHIN,6682,MILLERSBURG AREA MS,12.17,36.7,32.66,18.5
1253,BERKS,8247,MILLMONT ELEMENTARY,3.24,23.99,28.48,44.29
1254,COLUMBIA,7064,MILLVILLE AREA EL SCH,18.59,31.5,33.23,16.6
1255,COLUMBIA,1623,MILLVILLE AREA JSHS,12.49,28.7,29.39,29.38
1256,NORTHUMBERLAND,5353,MILTON AREA EL SCH,18.23,35.24,28.1,18.39
1257,NORTHUMBERLAND,6863,MILTON AREA MS,24.16,34.01,26.5,15.32
1258,ALLEGHENY,363,MINADEO EL SCH,15.95,23.4,22.92,37.81
1259,SCHUYLKILL,6699,MINERSVILLE AREA EL,16.01,34.79,30.78,18.36
1260,SCHUYLKILL,6583,MINERSVILLE AREA JSH,12.07,38.34,30.29,19.31
1261,PHILADELPHIA,3798,MITCHELL EL SCH,0.56,7.87,26.9,64.64
1262,PHILADELPHIA,3697,MOFFET JOHN SCH,7.46,25.24,33.51,33.78
1263,LAWRENCE,7108,MOHAWK EL SCH,29.34,37.84,22.89,9.97
1264,LAWRENCE,2686,MOHAWK JSHS,22.05,33.96,29.31,14.68
1265,WESTMORELAND,4444,MONESSEN EL CTR,7.15,29.94,35.18,27.78
1266,WESTMORELAND,7399,MONESSEN MS,2.13,16.18,29.12,52.59
1267,BUTLER,1164,MONITEAU JSHS,21.18,37.47,26.89,14.44
1268,CUMBERLAND,1698,MONROE EL SCH,36.18,36.68,15.92,11.23
1269,JUNIATA,2391,MONROE TWP EL SCH,16.84,43.1,25.02,15.09
1270,NORTHUMBERLAND,7034,MONTANDON EL SCH,22.5,37.43,27.81,12.34
1271,ERIE,7800,MONTESSORI REGIONAL CS,12.05,36.4,32.63,18.88
1272,LUZERNE,7273,MONTGOMERY AVENUE EL,24.88,40.6,20.53,14.01
1273,MONTGOMERY,4830,MONTGOMERY EL SCH,35.53,38.2,19.48,6.8
1274,LYCOMING,3040,MONTGOMERY JSHS,13.54,42.73,30.57,13.21
1275,SUSQUEHANNA,4044,MONTROSE AREA JSHS,11.72,34.73,34.56,18.95
1276,ALLEGHENY,8253,MOON AREA LOWER MS,29.35,41.79,20.55,8.25
1277,ALLEGHENY,8254,MOON AREA UPPER MS,26.24,42.74,20.63,10.33
1278,NORTHAMPTON,3500,MOORE  ELEM SCHOOL,24.43,38.28,22.63,14.7
1279,PHILADELPHIA,3770,MOORE J HAMPTON SCH,5.73,28.48,32.98,32.85
1280,ALLEGHENY,68,MOORE SCH,30.43,34.8,21.33,13.44
1281,CUMBERLAND,1690,MOORELAND EL SCH,48.05,28.63,13.41,9.96
1282,BUTLER,1169,MORAINE EL SCH,21.28,37.81,28.89,12.02
1283,PHILADELPHIA,4868,MORRIS ROBERT SCH,2.15,15.6,33.55,48.72
1284,PHILADELPHIA,3749,MORRISON ANDREW J SCH,0.86,11.16,29.42,58.56
1285,BUCKS,8113,MORRISVILLE INTRMD SCH,10.67,25.9,33.28,30.11
1286,ALLEGHENY,365,MORROW EL SCH,4.26,17.64,29.55,48.62
1287,PHILADELPHIA,6535,MORTON THOMAS G SCH,1.36,11.91,29.62,57.15
1288,LACKAWANNA,8098,MOSCOW EL SCH,22.95,49.25,17.8,10.0
1289,CLEARFIELD,6929,MOSHANNON VALLEY EL,14.45,37.54,26.68,21.28
1290,CLEARFIELD,1550,MOSHANNON VALLEY JSH,15.67,30.41,36.67,17.23
1291,ALLEGHENY,169,MOSS SIDE MS,16.75,32.0,30.8,20.5
1292,LEHIGH,2779,MOSSER EL SCH,6.7,26.91,31.46,34.96
1293,NORTHUMBERLAND,7498,MOUNT CARMEL AREA EL,13.88,32.25,34.13,19.73
1294,NORTHUMBERLAND,8135,MOUNT CARMEL AREA JHS,13.97,30.73,33.73,21.56
1295,CENTRE,1358,MOUNT NITTANY EL SCH,27.92,40.25,20.72,11.11
1296,CENTRE,7426,MOUNT NITTANY MS,32.76,34.85,21.5,10.97
1297,WESTMORELAND,7791,MOUNT PLEASANT JHS,10.86,31.39,32.92,24.87
